Company,Organization,Date,Headline,Article,Relevance
GOOGL,Alphabet Inc,17-03-2015,Google app store gets more oversight ,SAN FRANCISCO  March 17 Google Inc   is tightening supervision of its freewheeling Play store  forming a special team to screen new apps for malware and sexually explicit material  and strengthening its age-based rating system.,normal
GOOG,Alphabet Inc,19-03-2015,CORRECTED-Tag Heuer unveils smartwatch venture with Intel  Google ,BASEL  Switzerland  March 19 Tag Heuer  French luxury group LVMH's biggest watch maker  announced a partnership with Google Inc and Intel Corp to create a luxury smartwatch to compete head-on with Apple Inc .,normal
GOOGL,Alphabet Inc,19-03-2015,CORRECTED-Tag Heuer unveils smartwatch venture with Intel  Google ,BASEL  Switzerland  March 19 Tag Heuer  French luxury group LVMH's biggest watch maker  announced a partnership with Google Inc and Intel Corp to create a luxury smartwatch to compete head-on with Apple Inc .,normal
GOOG,Alphabet Inc,20-03-2015,Federal Circuit revives part of Oracle patent used to sue Google ,While a highly contentious copyright dispute between Oracle Corp and Google Inc gets most of the attention  the battle over patents between the tech heavyweights continues as a U.S. appeals court on Friday resurrected part of an Oracle patent that had been successfully invalidated by Google.,topStory
GOOGL,Alphabet Inc,20-03-2015,Federal Circuit revives part of Oracle patent used to sue Google ,While a highly contentious copyright dispute between Oracle Corp and Google Inc gets most of the attention  the battle over patents between the tech heavyweights continues as a U.S. appeals court on Friday resurrected part of an Oracle patent that had been successfully invalidated by Google.,topStory
GOOG,Alphabet Inc,25-03-2015,FTC says regrets release of documents on Google probe ,WASHINGTON Three U.S. Federal Trade Commission members said on Wednesday they regretted the inadvertent release of part of an agency report about its probe of Google Inc  as the company continues to face antitrust scrutiny from European authorities.,topStory
GOOG,Alphabet Inc,25-03-2015,U.S. FTC says regrets release of documents on Google probe ,WASHINGTON  March 25 Three U.S. Federal Trade Commission members said on Wednesday they regretted the inadvertent release of part of an agency report about its probe of Google Inc as the company continues to face antitrust scrutiny from European authorities.,normal
GOOG,Alphabet Inc,25-03-2015,Google poaches Morgan Stanley's CFO ,SAN FRANCISCO/NEW YORK Google Inc hired Morgan Stanley Chief Financial Officer Ruth Porat as its own finance chief  a sign Google is aiming to rein in costs as it invests in new businesses such as self-driving cars and internet-connected eyeglasses. | Video ,normal
GOOGL,Alphabet Inc,25-03-2015,FTC says regrets release of documents on Google probe ,WASHINGTON Three U.S. Federal Trade Commission members said on Wednesday they regretted the inadvertent release of part of an agency report about its probe of Google Inc  as the company continues to face antitrust scrutiny from European authorities.,topStory
GOOGL,Alphabet Inc,25-03-2015,U.S. FTC says regrets release of documents on Google probe ,WASHINGTON  March 25 Three U.S. Federal Trade Commission members said on Wednesday they regretted the inadvertent release of part of an agency report about its probe of Google Inc as the company continues to face antitrust scrutiny from European authorities.,normal
GOOGL,Alphabet Inc,25-03-2015,Google poaches Morgan Stanley's CFO ,SAN FRANCISCO/NEW YORK Google Inc hired Morgan Stanley Chief Financial Officer Ruth Porat as its own finance chief  a sign Google is aiming to rein in costs as it invests in new businesses such as self-driving cars and internet-connected eyeglasses. | Video ,normal
GOOG,Alphabet Inc,26-03-2015,UPDATE 2-Google to pay CFO Porat more than $70 mln in 2 years ,March 26 Google Inc said it would pay its new Chief Financial Officer  Ruth Porat  more than $70 million in the next two years through a combination of restricted stock units and a biennial grant.,topStory
GOOG,Alphabet Inc,26-03-2015,Google to pay new CFO annual base salary of $650 000 ,March 26 Google Inc said it would pay its new chief financial officer an annual base salary of $650 000 and a special one-time $5 million sign-on bonus.,normal
GOOGL,Alphabet Inc,26-03-2015,UPDATE 2-Google to pay CFO Porat more than $70 mln in 2 years ,March 26 Google Inc said it would pay its new Chief Financial Officer  Ruth Porat  more than $70 million in the next two years through a combination of restricted stock units and a biennial grant.,topStory
GOOGL,Alphabet Inc,26-03-2015,Google to pay new CFO annual base salary of $650 000 ,March 26 Google Inc said it would pay its new chief financial officer an annual base salary of $650 000 and a special one-time $5 million sign-on bonus.,normal
GOOG,Alphabet Inc,27-03-2015,CORRECTED-UPDATE 2-Google to pay CFO Porat more than $70 mln ,March 26 Google Inc said it would pay its new Chief Financial Officer  Ruth Porat  more than $70 million through a combination of restricted stock units and a biennial grant.,normal
GOOGL,Alphabet Inc,27-03-2015,CORRECTED-UPDATE 2-Google to pay CFO Porat more than $70 mln ,March 26 Google Inc said it would pay its new Chief Financial Officer  Ruth Porat  more than $70 million through a combination of restricted stock units and a biennial grant.,normal
GOOG,Alphabet Inc,02-04-2015,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's  request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,topStory
GOOG,Alphabet Inc,02-04-2015,CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet ,April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOG,Alphabet Inc,02-04-2015,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOG,Alphabet Inc,02-04-2015,UPDATE 1-China Internet authority denounces Google certificate rejection ,"BEIJING  April 2 A Chinese Internet regulator on Thursday slammed as ""unacceptable"" a decision by Google Inc  to no longer recognise its certificates of trust  a move which could deter Chrome browser users accessing sites approved by the authority.",normal
GOOGL,Alphabet Inc,02-04-2015,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's  request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,topStory
GOOGL,Alphabet Inc,02-04-2015,CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet ,April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOGL,Alphabet Inc,02-04-2015,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOGL,Alphabet Inc,02-04-2015,UPDATE 1-China Internet authority denounces Google certificate rejection ,"BEIJING  April 2 A Chinese Internet regulator on Thursday slammed as ""unacceptable"" a decision by Google Inc  to no longer recognise its certificates of trust  a move which could deter Chrome browser users accessing sites approved by the authority.",normal
GOOG,Alphabet Inc,04-04-2015,Consumers withdraw U.S. lawsuit against Google over Android app limits ,April 3 Plaintiffs in an antitrust lawsuit against Google Inc on Friday withdrew their case accusing the search engine company of harming smartphone buyers by forcing handset makers using Android operating system to make Google's own applications the default option.,topStory
GOOGL,Alphabet Inc,04-04-2015,Consumers withdraw U.S. lawsuit against Google over Android app limits ,April 3 Plaintiffs in an antitrust lawsuit against Google Inc on Friday withdrew their case accusing the search engine company of harming smartphone buyers by forcing handset makers using Android operating system to make Google's own applications the default option.,topStory
GOOG,Alphabet Inc,06-04-2015,Google says working to restore YouTube service in Turkey ,FRANKFURT Google  has seen reports that YouTube is blocked in Turkey and is working to restore its video-sharing service  a company spokesman said on Monday.,normal
